Week,Romney,Santorum,Gingrich,Paul,Perry,Huntsman,Bachmann,Other,None/Any/no opinion
15,34,28,13,10,0,0,0,3,12
14,35,24,14,11,0,0,0,2,13
13,36,23,16,11,0,0,0,1,13
12,31,30,15,11,0,0,0,3,12
11,27,35,14,11,0,0,0,2,11
10,34,26,16,8,0,0,0,2,13
9,35,16,24,12,0,0,0,3,11
8,27,14,30,13,0,0,0,2,14
7,29,13,24,14,0,0,0,6,14
6,36,14,14,12,6,2,0,2,15
5,29,17,17,13,6,2,0,4,14
4,26,5,25,12,7,2,4,3,17
3,23,3,26,12,8,1,6,3,19
2.00,24,4,27,11,7,2,7,2,17
1.00,23,3,33,9,6,2,6,2,18
