Date,Romney,Santorum,Gingrich,Paul,Perry,Huntsman,Bachmann,Obama
17,42,26,11,11,0,0,0,13
16,40,27,14,8,0,0,0,10
15,34,28,13,10,0,0,0,11
14,35,24,14,11,0,0,0,12
13,36,23,16,11,0,0,0,10
12,31,30,15,11,0,0,0,10
11,27,35,14,11,0,0,0,11
10,34,26,16,8,0,0,0,10
9,35,16,24,12,0,0,0,10
8,27,14,30,13,0,0,0,10
7,29,13,24,14,0,0,0,10
6,36,14,14,12,6,2,0,12
5,29,17,17,13,6,2,0,10
4,26,5,25,12,7,2,4,12
3,23,3,26,12,8,1,6,10
2,24,4,27,11,7,2,7,13
1,23,3,33,9,6,2,6,10
